period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units,country
2018-10-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),6.72,$/MCF,France
2018-11-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),7.02,$/MCF,France
2018-12-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),7.47,$/MCF,France
2019-01-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),3.94,$/MCF,France
2019-03-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),5.24,$/MCF,France
2019-04-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),4.26,$/MCF,France
2019-05-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),6.23,$/MCF,France
2019-08-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),5.67,$/MCF,France
2019-09-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),5.82,$/MCF,France
2019-10-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),5.67,$/MCF,France
2019-11-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to France (Dollars per Thousand Cubic Feet),5.76,$/MCF,France
