period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units,country
2018-10-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),4846.0,MMCF,France
2018-11-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),9991.0,MMCF,France
2018-12-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),3453.0,MMCF,France
2019-01-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),7303.0,MMCF,France
2019-03-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),20853.0,MMCF,France
2019-04-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),17092.0,MMCF,France
2019-05-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),6621.0,MMCF,France
2019-08-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),3249.0,MMCF,France
2019-09-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),6740.0,MMCF,France
2019-10-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),14228.0,MMCF,France
2019-11-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),26946.0,MMCF,France
2019-12-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),14758.0,MMCF,France
2020-01-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),6563.0,MMCF,France
2020-02-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),20520.0,MMCF,France
2020-03-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),23491.0,MMCF,France
2020-04-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),16336.0,MMCF,France
2020-05-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),9546.0,MMCF,France
2020-06-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),0.0,MMCF,France
2020-07-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),0.0,MMCF,France
2020-08-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),0.0,MMCF,France
2020-09-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),0.0,MMCF,France
2020-10-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),6639.0,MMCF,France
2020-11-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),3390.0,MMCF,France
2020-12-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),3752.0,MMCF,France
2021-01-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),3587.0,MMCF,France
2021-02-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),14851.0,MMCF,France
2021-03-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),33678.0,MMCF,France
2021-04-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),36120.0,MMCF,France
2021-05-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),11926.0,MMCF,France
2021-06-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),3683.0,MMCF,France
2021-07-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),0.0,MMCF,France
2021-08-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),7111.0,MMCF,France
2021-09-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),6578.0,MMCF,France
2021-10-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),9333.0,MMCF,France
2021-11-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),10021.0,MMCF,France
2021-12-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),33892.0,MMCF,France
2022-01-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),50084.0,MMCF,France
2022-02-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),39646.0,MMCF,France
2022-03-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),64415.0,MMCF,France
2022-04-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),56343.0,MMCF,France
2022-05-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),47150.0,MMCF,France
2022-06-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),37564.0,MMCF,France
2022-07-01,NUS-NFR,FRA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),53443.0,MMCF,France
